common_name,scientific_name,level,gbif_pass,inaturalist_pass,wikimedia_pass,openimages_pass,images_cv_pass,total_pass,total_imgs,after_buffer,status,gap,top_failure_reasons
human,homo sapiens,species,5,0,0,0,0,5,107,4,critical,1496,no animal detected (conf ≥ 0.5)(75); animal bbox area 0.0008 < 0.01(3); Not a live animal visible(3)
mouflon,ovis orientalis,species,1,0,5,0,0,6,10,5,critical,1495,Dead or non-living subject(1); dead or non-living subject(1); No live animal visible: only a Cyprus 10 pound note with images of a bird and a turtle(1)
giant armadillo,priodontes maximus,species,6,5,0,0,0,11,40,9,critical,1491,no animal detected (conf ≥ 0.5)(9); Not a daytime photograph(4); not a daytime photograph(2)
domestic pig,sus scrofa scrofa,species,0,0,15,0,0,15,17,12,critical,1488,no animal detected (conf ≥ 0.5)(1); animal bbox area 0.0069 < 0.01(1)
hog badger genus,arctonyx,genus,11,1,6,0,0,18,37,14,critical,1486,no animal detected (conf ≥ 0.5)(9); Only a detached body part (skull) without a live animal(3); dead or non-living subject(2)
malay tapir,tapirus indicus,species,3,17,1,0,0,21,45,17,critical,1483,Not a daytime photograph(6); no animal detected (conf ≥ 0.5)(4); not a daytime photograph(3)
drill,mandrillus leucophaeus,species,6,17,0,0,0,23,35,18,critical,1482,no animal detected (conf ≥ 0.5)(3); dead or non-living subject(2); dead animal(2)
clouded leopard,neofelis nebulosa,species,1,18,6,0,0,25,57,20,critical,1480,no animal detected (conf ≥ 0.5)(11); Not a daytime photograph(5); not a daytime photograph(3)
african civet,civettictis civetta,species,7,12,9,0,0,28,164,22,critical,1478,effectively grayscale (mean HSV saturation=0.0 < 15.0)(49); Not a daytime photograph(21); no animal detected (conf ≥ 0.5)(9)
aye-aye,daubentonia madagascariensis,species,10,13,6,0,0,29,61,23,critical,1477,Not a daytime photograph(8); no animal detected (conf ≥ 0.5)(7); not a daytime photograph(5)
red-necked wallaby,macropus rufogriseus,species,28,0,2,0,0,30,49,24,critical,1476,no animal detected (conf ≥ 0.5)(8); Dead or non-living subject(2); live animal visible but not in natural habitat(1)
binturong,arctictis binturong,species,9,18,9,0,0,36,65,29,critical,1471,no animal detected (conf ≥ 0.5)(10); Not a daytime photograph(3); effectively grayscale (mean HSV saturation=0.0 < 15.0)(2)
spilogale species,spilogale,genus,5,32,0,0,0,37,236,30,critical,1470,no animal detected (conf ≥ 0.5)(73); No live animal visible(13); effectively grayscale (mean HSV saturation=0.0 < 15.0)(13)
bongo,tragelaphus eurycerus,species,1,33,5,0,0,39,49,31,critical,1469,no animal detected (conf ≥ 0.5)(6); effectively grayscale (mean HSV saturation=0.0 < 15.0)(2); effectively grayscale (mean HSV saturation=13.6 < 15.0)(1)
aardwolf,proteles cristata,species,15,0,32,0,0,47,88,38,critical,1462,Not a daytime photograph(7); Dead animal(6); effectively grayscale (mean HSV saturation=0.0 < 15.0)(4)
saiga,saiga tatarica,species,17,29,4,0,0,50,85,40,critical,1460,Dead animal(3); no animal detected (conf ≥ 0.5)(3); Dead or non-living subject(2)
pangolin family,manidae,family,10,30,12,0,0,52,168,42,critical,1458,no animal detected (conf ≥ 0.5)(63); Not a daytime photograph(12); dead or non-living subject(4)
red river hog,potamochoerus porcus,species,3,35,15,0,0,53,83,42,critical,1458,no animal detected (conf ≥ 0.5)(10); animal bbox area 0.0020 < 0.01(2); dead or non-living subject(2)
aardvark,orycteropus afer,species,12,27,15,0,0,54,266,43,critical,1457,no animal detected (conf ≥ 0.5)(140); Not a daytime photograph(9); No live animal visible(6)
mangabeys genus,cercocebus,genus,16,32,6,0,0,54,110,43,critical,1457,no animal detected (conf ≥ 0.5)(12); effectively grayscale (mean HSV saturation=0.0 < 15.0)(9); dead or non-living subject(5)
pinniped clade,pinniped,family,0,0,55,0,0,55,138,44,critical,1456,no animal detected (conf ≥ 0.5)(20); effectively grayscale (mean HSV saturation=0.0 < 15.0)(9); No live animal visible(2)
red brocket,mazama americana,species,27,34,1,0,0,62,261,50,critical,1450,Not a daytime photograph(85); visible watermark(36); not a daytime photograph(14)
brown hyaena,parahyaena brunnea,species,17,44,7,0,0,68,162,54,critical,1446,no animal detected (conf ≥ 0.5)(22); effectively grayscale (mean HSV saturation=0.0 < 15.0)(14); Not a daytime photograph(13)
wolverine,gulo gulo,species,30,28,11,0,0,69,222,55,critical,1445,no animal detected (conf ≥ 0.5)(38); effectively grayscale (mean HSV saturation=0.0 < 15.0)(19); visible watermark(5)
fossa,cryptoprocta ferox,species,19,50,10,0,0,79,111,63,critical,1437,no animal detected (conf ≥ 0.5)(5); Not a daytime photograph(3); effectively grayscale (mean HSV saturation=0.0 < 15.0)(2)
asiatic wild ass,equus hemionus,species,13,64,7,0,0,84,179,67,critical,1433,no animal detected (conf ≥ 0.5)(15); Dead or non-living subject(6); No live animal visible(5)
